,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
1393,Male,22-24,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Non-profit/Service,1-2,"10-20,000",15000
1394,Male,18-21,Oceania,Bachelor’s degree,Mathematics or statistics,Student,I am a student,0-1,"10-20,000",15000
1395,Male,30-34,India,Bachelor’s degree,Other,Product/Project Manager,Manufacturing/Fabrication,1-2,"20-30,000",25000
1396,Male,35-39,Russia,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,10-15,"10-20,000",15000
1397,Male,55-59,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,4-5,"100-125,000",112500
1398,Male,50-54,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Hospitality/Entertainment/Sports,20-25,"20-30,000",25000
1400,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"40-50,000",45000
1401,Female,22-24,Russia,Master’s degree,"Information technology, networking, or system administration",DBA/Database Engineer,Accounting/Finance,0-1,"0-10,000",5000
1402,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Marketing/CRM,2-3,"70-80,000",75000
1404,Female,30-34,Europe,Master’s degree,Other,Other,Other,5-10,"40-50,000",45000
1406,Female,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Retail/Sales,3-4,"50-60,000",55000
1407,Female,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
1408,Male,22-24,Africa,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
1410,Male,18-21,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
1413,Male,18-21,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,,"0-10,000",5000
1414,Male,18-21,India,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
1415,Male,30-34,Middle East,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,1-2,"90-100,000",95000
1417,Male,30-34,Europe,Master’s degree,Engineering (non-computer focused),Data Scientist,Online Business/Internet-based Sales,4-5,"60-70,000",65000
1418,Male,50-54,India,Doctoral degree,Engineering (non-computer focused),Data Scientist,Academics/Education,,"20-30,000",25000
1419,Male,30-34,Europe,No formal education past high school,,Software Engineer,Computers/Technology,5-10,"20-30,000",25000
1420,Male,25-29,Asia,Master’s degree,Fine arts or performing arts,Research Assistant,Academics/Education,0-1,"20-30,000",25000
1421,Female,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,10-15,"0-10,000",5000
1422,Male,22-24,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,1-2,"40-50,000",45000
1424,Male,35-39,North America,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,2-3,"50-60,000",55000
1426,Male,25-29,Asia,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Insurance/Risk Assessment,0-1,"20-30,000",25000
1427,Male,18-21,Asia,Some college/university study without earning a bachelor’s degree,Mathematics or statistics,Student,I am a student,1-2,"0-10,000",5000
1429,Male,22-24,Africa,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Other,2-3,"125-150,000",137500
1430,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
1431,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
1432,Male,40-44,Europe,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Other,Other,4-5,"20-30,000",25000
1433,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",DBA/Database Engineer,Computers/Technology,1-2,"0-10,000",5000
1434,Male,30-34,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,3-4,"10-20,000",15000
1436,Prefer not to say,30-34,Europe,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Other,Government/Public Service,3-4,"10-20,000",15000
1437,Male,30-34,Asia,Bachelor’s degree,Physics or astronomy,Other,Insurance/Risk Assessment,3-4,"90-100,000",95000
1438,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Other,Computers/Technology,0-1,"0-10,000",5000
1439,Male,30-34,Europe,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Other,3-4,"30-40,000",35000
1440,Male,22-24,North America,Bachelor’s degree,Engineering (non-computer focused),Data Scientist,Military/Security/Defense,1-2,"50-60,000",55000
1441,Male,22-24,Europe,Master’s degree,Physics or astronomy,Data Analyst,Marketing/CRM,1-2,"40-50,000",45000
1442,Male,30-34,Asia,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Software Engineer,Accounting/Finance,3-4,"50-60,000",55000
1444,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,3-4,"0-10,000",5000
1445,Male,35-39,Europe,Master’s degree,"Computer science (software engineering, etc.)",Manager,Manufacturing/Fabrication,2-3,"90-100,000",95000
1447,Male,22-24,Europe,Master’s degree,Mathematics or statistics,Data Analyst,Computers/Technology,0-1,"40-50,000",45000
1448,Male,35-39,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Academics/Education,5-10,"80-90,000",85000
1449,Male,22-24,South America,Professional degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,3-4,"0-10,000",5000
1450,Male,50-54,South America,Master’s degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,1-2,"150-200,000",175000
1451,Female,30-34,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Business/Internet-based Sales,5-10,"30-40,000",35000
1452,Male,35-39,Asia,Master’s degree,"Information technology, networking, or system administration",Other,Other,1-2,"30-40,000",35000
1453,Male,18-21,Europe,Bachelor’s degree,Mathematics or statistics,Software Engineer,Computers/Technology,1-2,"0-10,000",5000
1454,Male,22-24,China,Master’s degree,Engineering (non-computer focused),Student,I am a student,3-4,"0-10,000",5000
1455,Male,35-39,India,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,4-5,"40-50,000",45000
1457,Male,25-29,South America,Doctoral degree,Other,Data Scientist,Shipping/Transportation,1-2,"0-10,000",5000
1458,Male,60-69,Europe,Professional degree,"Computer science (software engineering, etc.)",Manager,Manufacturing/Fabrication,15-20,"100-125,000",112500
1459,Female,25-29,Europe,Bachelor’s degree,"Information technology, networking, or system administration",Data Analyst,Computers/Technology,2-3,"30-40,000",35000
1460,Male,25-29,Other,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,2-3,"20-30,000",25000
1461,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Research Assistant,Academics/Education,2-3,"20-30,000",25000
1462,Male,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Government/Public Service,2-3,"20-30,000",25000
1463,Male,25-29,Europe,Some college/university study without earning a bachelor’s degree,Other,Data Scientist,Retail/Sales,0-1,"20-30,000",25000
1464,Male,22-24,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,2-3,"0-10,000",5000
1465,Male,25-29,Europe,Doctoral degree,"Information technology, networking, or system administration",Student,I am a student,3-4,"10-20,000",15000
1467,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0-1,"0-10,000",5000
1468,Male,25-29,Europe,Doctoral degree,Physics or astronomy,Other,I am a student,1-2,"10-20,000",15000
1469,Male,30-34,Russia,Master’s degree,Engineering (non-computer focused),Software Engineer,Medical/Pharmaceutical,2-3,"10-20,000",15000
1470,Male,40-44,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Accounting/Finance,2-3,"60-70,000",65000
1471,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"50-60,000",55000
1472,Male,22-24,Asia,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,0-1,"0-10,000",5000
1474,Female,35-39,Russia,Bachelor’s degree,"Information technology, networking, or system administration",Marketing Analyst,Marketing/CRM,4-5,"10-20,000",15000
1475,Female,18-21,South America,Bachelor’s degree,"Information technology, networking, or system administration",Other,Other,1-2,"0-10,000",5000
1476,Male,25-29,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Academics/Education,2-3,"10-20,000",15000
1477,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Broadcasting/Communications,0-1,"10-20,000",15000
1478,Female,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
1479,Male,25-29,South America,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Accounting/Finance,1-2,"10-20,000",15000
1480,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"10-20,000",15000
1482,Male,40-44,North America,Bachelor’s degree,"Information technology, networking, or system administration",Research Assistant,Academics/Education,5-10,"30-40,000",35000
1483,Male,40-44,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Online Service/Internet-based Services,15-20,"10-20,000",15000
1485,Male,25-29,South America,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Accounting/Finance,5-10,"30-40,000",35000
1486,Male,22-24,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"10-20,000",15000
1487,Male,22-24,Asia,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Insurance/Risk Assessment,2-3,"0-10,000",5000
1488,Male,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Marketing/CRM,5-10,"10-20,000",15000
1490,Male,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Accounting/Finance,0-1,"20-30,000",25000
1491,Male,25-29,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Academics/Education,5-10,"20-30,000",25000
1493,Male,22-24,South America,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,1-2,"0-10,000",5000
1494,Male,30-34,South America,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Service/Internet-based Services,1-2,"50-60,000",55000
1496,Male,18-21,USA,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
1497,Female,30-34,India,Doctoral degree,"Computer science (software engineering, etc.)",Data Analyst,Academics/Education,0-1,"0-10,000",5000
1499,Male,45-49,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,15-20,"10-20,000",15000
1500,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Data Analyst,Computers/Technology,3-4,"40-50,000",45000
1502,Male,40-44,Europe,Master’s degree,Other,Software Engineer,Computers/Technology,10-15,"100-125,000",112500
1503,Male,30-34,Other,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Chief Officer,Accounting/Finance,4-5,"90-100,000",95000
1504,Female,25-29,South America,Bachelor’s degree,"Information technology, networking, or system administration",DBA/Database Engineer,Government/Public Service,5-10,"10-20,000",15000
1505,Male,25-29,Europe,Master’s degree,Engineering (non-computer focused),Other,Other,0-1,"50-60,000",55000
1506,Male,30-34,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"0-10,000",5000
1508,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
1509,Male,22-24,Asia,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,Academics/Education,3-4,"0-10,000",5000
1510,Male,18-21,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,0-1,"50-60,000",55000
1511,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"10-20,000",15000
1512,Male,25-29,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
1513,Female,25-29,India,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,1-2,"0-10,000",5000
1515,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Chief Officer,Manufacturing/Fabrication,4-5,"20-30,000",25000
1516,Male,25-29,Asia,Doctoral degree,"Information technology, networking, or system administration",Other,Academics/Education,2-3,"0-10,000",5000
1518,Female,25-29,Other,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,1-2,"10-20,000",15000
1520,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"10-20,000",15000
1522,Male,35-39,Europe,Master’s degree,Mathematics or statistics,Business Analyst,Accounting/Finance,0-1,"80-90,000",85000
1523,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Other,Academics/Education,0-1,"20-30,000",25000
1525,Male,35-39,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Other,5-10,"125-150,000",137500
1526,Male,35-39,Europe,Doctoral degree,Engineering (non-computer focused),Data Scientist,Government/Public Service,0-1,"70-80,000",75000
1528,Male,45-49,Other,Bachelor’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,10-15,"20-30,000",25000
1529,Male,60-69,South America,Doctoral degree,Engineering (non-computer focused),Research Scientist,Government/Public Service,30 +,"70-80,000",75000
1530,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Manufacturing/Fabrication,0-1,"10-20,000",15000
1531,Male,22-24,South America,Bachelor’s degree,Engineering (non-computer focused),Research Scientist,Energy/Mining,0-1,"0-10,000",5000
1532,Male,25-29,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Online Service/Internet-based Services,1-2,"60-70,000",65000
1534,Male,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Retail/Sales,3-4,"20-30,000",25000
1537,Male,18-21,South America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Other,0-1,"10-20,000",15000
1541,Male,25-29,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,5-10,"0-10,000",5000
1543,Male,22-24,Other,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"0-10,000",5000
1544,Male,22-24,Asia,No formal education past high school,,Product/Project Manager,Online Service/Internet-based Services,1-2,"10-20,000",15000
1546,Male,40-44,Middle East,Master’s degree,Engineering (non-computer focused),Data Engineer,Military/Security/Defense,0-1,"80-90,000",85000
1547,Male,22-24,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,2-3,"10-20,000",15000
1549,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Consultant,Computers/Technology,0-1,"30-40,000",35000
1550,Female,25-29,Europe,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Broadcasting/Communications,1-2,"10-20,000",15000
1555,Male,35-39,Russia,I prefer not to answer,Mathematics or statistics,Consultant,Accounting/Finance,5-10,"30-40,000",35000
1557,Male,40-44,Oceania,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Engineer,Insurance/Risk Assessment,4-5,"100-125,000",112500
1558,Male,25-29,India,Master’s degree,Engineering (non-computer focused),Data Scientist,Online Service/Internet-based Services,1-2,"0-10,000",5000
1559,Male,22-24,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Broadcasting/Communications,2-3,"10-20,000",15000
1560,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Manufacturing/Fabrication,0-1,"60-70,000",65000
1561,Prefer not to say,30-34,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,10-15,"50-60,000",55000
1563,Male,22-24,Africa,Master’s degree,Mathematics or statistics,Student,Academics/Education,1-2,"0-10,000",5000
1564,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,3-4,"30-40,000",35000
1566,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Retail/Sales,1-2,"40-50,000",45000
1568,Male,45-49,South America,Master’s degree,Engineering (non-computer focused),Consultant,Government/Public Service,5-10,"60-70,000",65000
1569,Female,30-34,Russia,Doctoral degree,Mathematics or statistics,Software Engineer,Computers/Technology,5-10,"20-30,000",25000
1570,Female,25-29,Russia,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
1571,Prefer to self-describe,40-44,Europe,Doctoral degree,"Humanities (history, literature, philosophy, etc.)",Data Scientist,Online Service/Internet-based Services,2-3,"90-100,000",95000
1572,Male,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Other,1-2,"40-50,000",45000
1573,Male,40-44,Europe,Doctoral degree,Environmental science or geology,Chief Officer,Energy/Mining,10-15,"300-400,000",350000
1574,Male,60-69,Europe,I prefer not to answer,Physics or astronomy,Consultant,Energy/Mining,2-3,"10-20,000",15000
1575,Male,25-29,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Retail/Sales,1-2,"20-30,000",25000
1576,Male,18-21,China,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
1577,Male,22-24,South America,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"0-10,000",5000
1579,Female,18-21,Russia,Master’s degree,Mathematics or statistics,Business Analyst,Accounting/Finance,0-1,"0-10,000",5000
1580,Male,35-39,Oceania,Master’s degree,Mathematics or statistics,Developer Advocate,Retail/Sales,3-4,"50-60,000",55000
1582,Male,22-24,Oceania,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Medical/Pharmaceutical,0-1,"0-10,000",5000
1583,Male,50-54,USA,Doctoral degree,Mathematics or statistics,Data Scientist,Other,4-5,"150-200,000",175000
1585,Male,40-44,North America,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Accounting/Finance,5-10,"10-20,000",15000
1586,Male,25-29,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Military/Security/Defense,3-4,"50-60,000",55000
1587,Male,40-44,Europe,Doctoral degree,Physics or astronomy,Research Assistant,Academics/Education,1-2,"20-30,000",25000
1588,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Student,I am a student,0-1,"30-40,000",35000
1589,Female,25-29,Europe,Master’s degree,Mathematics or statistics,Research Scientist,Energy/Mining,3-4,"30-40,000",35000
1590,Male,35-39,Middle East,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,4-5,"100-125,000",112500
1591,Male,22-24,Russia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Marketing/CRM,0-1,"0-10,000",5000
1592,Male,25-29,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Accounting/Finance,1-2,"40-50,000",45000
1593,Male,18-21,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
1594,Male,18-21,India,Bachelor’s degree,Other,Student,I am a student,0-1,"0-10,000",5000
1595,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Data Analyst,Accounting/Finance,0-1,"10-20,000",15000
1596,Male,35-39,Other,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,10-15,"20-30,000",25000
1597,Male,30-34,Europe,Doctoral degree,Engineering (non-computer focused),Other,Other,0-1,"40-50,000",45000
1598,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
1599,Male,25-29,dna,Master’s degree,Engineering (non-computer focused),Software Engineer,Accounting/Finance,1-2,"0-10,000",5000
1600,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Medical/Pharmaceutical,5-10,"50-60,000",55000
1601,Male,40-44,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Business/Internet-based Sales,10-15,"40-50,000",45000
1602,Male,18-21,China,Master’s degree,Engineering (non-computer focused),Student,Computers/Technology,4-5,"10-20,000",15000
1603,Male,30-34,Europe,Doctoral degree,Mathematics or statistics,Manager,Computers/Technology,5-10,"60-70,000",65000
1604,Male,25-29,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,2-3,"10-20,000",15000
1605,Male,30-34,India,Professional degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,2-3,"90-100,000",95000
1608,Male,25-29,Other,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Business Analyst,Accounting/Finance,1-2,"10-20,000",15000
1609,Male,25-29,South America,Master’s degree,Mathematics or statistics,Data Analyst,Accounting/Finance,4-5,"20-30,000",25000
1610,Male,25-29,Africa,Bachelor’s degree,Environmental science or geology,Research Scientist,Computers/Technology,3-4,"30-40,000",35000
1611,Male,60-69,South America,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Scientist,Energy/Mining,5-10,"30-40,000",35000
1612,Female,25-29,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,5-10,"20-30,000",25000
1613,Male,22-24,Asia,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Manufacturing/Fabrication,2-3,"10-20,000",15000
1615,Female,25-29,North America,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,5-10,"50-60,000",55000
1618,Female,22-24,Middle East,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,,"0-10,000",5000
1620,Male,35-39,South America,Bachelor’s degree,Engineering (non-computer focused),Consultant,Broadcasting/Communications,5-10,"40-50,000",45000
1621,Male,25-29,Africa,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Accounting/Finance,1-2,"400-500,000",450000
1623,Male,25-29,Europe,Bachelor’s degree,Mathematics or statistics,Consultant,Computers/Technology,3-4,"30-40,000",35000
1624,Male,35-39,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Insurance/Risk Assessment,5-10,"30-40,000",35000
1626,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
1627,Male,25-29,Russia,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Scientist,Accounting/Finance,4-5,"50-60,000",55000
1628,Male,35-39,USA,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Analyst,Online Service/Internet-based Services,4-5,"90-100,000",95000
1629,Male,55-59,Other,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Business Analyst,Government/Public Service,5-10,"50-60,000",55000
1630,Male,25-29,Europe,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Other,1-2,"20-30,000",25000
1631,Male,25-29,Europe,Doctoral degree,"A business discipline (accounting, economics, finance, etc.)",Student,I am a student,2-3,"10-20,000",15000
1632,Male,40-44,Europe,Doctoral degree,Engineering (non-computer focused),Chief Officer,Computers/Technology,5-10,"60-70,000",65000
1633,Male,18-21,India,Bachelor’s degree,Physics or astronomy,Student,I am a student,10-15,"0-10,000",5000
1636,Female,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,I am a student,0-1,"0-10,000",5000
1637,Male,22-24,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Broadcasting/Communications,1-2,"30-40,000",35000
1638,Male,25-29,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
1639,Male,18-21,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Military/Security/Defense,1-2,"10-20,000",15000
1640,Prefer not to say,25-29,Middle East,I prefer not to answer,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,5-10,"100-125,000",112500
1641,Male,35-39,South America,Doctoral degree,Engineering (non-computer focused),Research Scientist,Academics/Education,5-10,"0-10,000",5000
1642,Male,22-24,Russia,Master’s degree,Engineering (non-computer focused),Data Scientist,Online Service/Internet-based Services,1-2,"20-30,000",25000
1644,Male,35-39,Europe,Master’s degree,Mathematics or statistics,Data Analyst,Online Business/Internet-based Sales,2-3,"0-10,000",5000
1645,Male,50-54,Other,Bachelor’s degree,Engineering (non-computer focused),Developer Advocate,Computers/Technology,15-20,"50-60,000",55000
1646,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Other,1-2,"70-80,000",75000
1647,Female,30-34,Russia,Bachelor’s degree,Mathematics or statistics,Data Analyst,Online Service/Internet-based Services,3-4,"0-10,000",5000
1648,Female,22-24,North America,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Broadcasting/Communications,0-1,"50-60,000",55000
1649,Male,25-29,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Engineer,Retail/Sales,3-4,"20-30,000",25000
1651,Male,18-21,Europe,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,Online Service/Internet-based Services,0-1,"0-10,000",5000
1652,Male,25-29,South America,Doctoral degree,"Information technology, networking, or system administration",Data Scientist,Academics/Education,5-10,"30-40,000",35000
1653,Female,22-24,India,Master’s degree,Other,Business Analyst,I am a student,0-1,"0-10,000",5000
1654,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,1-2,"10-20,000",15000
1655,Male,30-34,Africa,Doctoral degree,Engineering (non-computer focused),Data Scientist,Energy/Mining,0-1,"40-50,000",45000
1657,Male,25-29,Asia,Master’s degree,Mathematics or statistics,Other,Computers/Technology,0-1,"30-40,000",35000
1659,Male,25-29,India,Professional degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,2-3,"0-10,000",5000
1660,Male,30-34,South America,Doctoral degree,"Computer science (software engineering, etc.)",Software Engineer,Government/Public Service,15-20,"50-60,000",55000
1662,Male,25-29,Europe,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Scientist,Medical/Pharmaceutical,0-1,"50-60,000",55000
1663,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Broadcasting/Communications,1-2,"0-10,000",5000
1664,Male,30-34,Africa,Master’s degree,"Computer science (software engineering, etc.)",DBA/Database Engineer,Accounting/Finance,5-10,"20-30,000",25000
1665,Female,18-21,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,1-2,"0-10,000",5000
1666,Male,18-21,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Other,0-1,"10-20,000",15000
1667,Male,45-49,India,Bachelor’s degree,Engineering (non-computer focused),Product/Project Manager,Computers/Technology,10-15,"20-30,000",25000
1668,Male,30-34,Europe,Doctoral degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,0-1,"70-80,000",75000
1669,Male,25-29,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Marketing/CRM,0-1,"10-20,000",15000
1670,Male,35-39,South America,Master’s degree,Mathematics or statistics,Data Scientist,Medical/Pharmaceutical,5-10,"30-40,000",35000
1671,Male,25-29,USA,Doctoral degree,Mathematics or statistics,Business Analyst,Marketing/CRM,2-3,"70-80,000",75000
1672,Male,25-29,Europe,Bachelor’s degree,Engineering (non-computer focused),Consultant,Other,3-4,"50-60,000",55000
